state,direction,id,official_name,official_class,source_path,source_sha256
PLAY,CLIENTBOUND,0x86,update_tags,net.minecraft.network.protocol.common.ClientboundUpdateTagsPacket,net/minecraft/network/protocol/common/ClientboundUpdateTagsPacket.java,3521b71b6a62b414b1d28abf628f9c22211d2ce86c2b79b461aa7b09b42aa43d
PLAY,CLIENTBOUND,0x87,projectile_power,net.minecraft.network.protocol.game.ClientboundProjectilePowerPacket,net/minecraft/network/protocol/game/ClientboundProjectilePowerPacket.java,4aedd88683df54234abd7a59d1abaef11ac40c718252c1d8fe05bed7ebd4a15c
PLAY,CLIENTBOUND,0x88,custom_report_details,net.minecraft.network.protocol.common.ClientboundCustomReportDetailsPacket,net/minecraft/network/protocol/common/ClientboundCustomReportDetailsPacket.java,b0070dd354b17a2df96901b57cf5bbbe647ba6b18100f60445df0bd021489c67
PLAY,CLIENTBOUND,0x89,server_links,net.minecraft.network.protocol.common.ClientboundServerLinksPacket,net/minecraft/network/protocol/common/ClientboundServerLinksPacket.java,b9e71b354d157406788a043390a9c997fe51531330861195469d04e92469cd8a
PLAY,CLIENTBOUND,0x8A,waypoint,net.minecraft.network.protocol.game.ClientboundTrackedWaypointPacket,net/minecraft/network/protocol/game/ClientboundTrackedWaypointPacket.java,a2f8502260a91c5f60b85f716d51ebae1aa6d343b12641aae1d5d76b4951a5d3
PLAY,CLIENTBOUND,0x8B,clear_dialog,net.minecraft.network.protocol.common.ClientboundClearDialogPacket,net/minecraft/network/protocol/common/ClientboundClearDialogPacket.java,95018b4c0ac6b0936fa72a4b11c2404329ba933cf109cc1438dc4f31d999111c
PLAY,CLIENTBOUND,0x8C,show_dialog,net.minecraft.network.protocol.common.ClientboundShowDialogPacket,net/minecraft/network/protocol/common/ClientboundShowDialogPacket.java,191ca4e2fd7085403d85e31c64cf95424881e5620594c21c518e70c5804b0ab5
PLAY,SERVERBOUND,0x00,accept_teleportation,net.minecraft.network.protocol.game.ServerboundAcceptTeleportationPacket,net/minecraft/network/protocol/game/ServerboundAcceptTeleportationPacket.java,4ee923df2b8c608f19f0f876ab3b4f9627f2c31dfad9d070c7cc52a4acca880c
PLAY,SERVERBOUND,0x01,attack,net.minecraft.network.protocol.game.ServerboundAttackPacket,net/minecraft/network/protocol/game/ServerboundAttackPacket.java,6a074f8533af9e798560de4846557248129de2cafd72e1a2d982f93bd5c464c6
PLAY,SERVERBOUND,0x02,block_entity_tag_query,net.minecraft.network.protocol.game.ServerboundBlockEntityTagQueryPacket,net/minecraft/network/protocol/game/ServerboundBlockEntityTagQueryPacket.java,30b21bf9ece1bf36a251823c3bb0d83348bc716047e866aa2fda70480bda8831
PLAY,SERVERBOUND,0x03,bundle_item_selected,net.minecraft.network.protocol.game.ServerboundSelectBundleItemPacket,net/minecraft/network/protocol/game/ServerboundSelectBundleItemPacket.java,0d6b1073c96320b0626c09c407e956e5e5ab7d7a6ce3e9f5593b35755c81cbb6
PLAY,SERVERBOUND,0x04,change_difficulty,net.minecraft.network.protocol.game.ServerboundChangeDifficultyPacket,net/minecraft/network/protocol/game/ServerboundChangeDifficultyPacket.java,0c59dbfca49129ca0c951e71e4e39b4034de39e632969bb75cac8a1d8868bf9e
PLAY,SERVERBOUND,0x05,change_game_mode,net.minecraft.network.protocol.game.ServerboundChangeGameModePacket,net/minecraft/network/protocol/game/ServerboundChangeGameModePacket.java,cae5dda96fde797bf2ae6c725cb04b24ec6d13f9d051fecabd89b104635f25c1
PLAY,SERVERBOUND,0x06,chat_ack,net.minecraft.network.protocol.game.ServerboundChatAckPacket,net/minecraft/network/protocol/game/ServerboundChatAckPacket.java,d74f184bd238896a81ebde4f6b7d754f00cc63e6f0d106003c33c64f84538c33
PLAY,SERVERBOUND,0x07,chat_command,net.minecraft.network.protocol.game.ServerboundChatCommandPacket,net/minecraft/network/protocol/game/ServerboundChatCommandPacket.java,ccbf2d62c146e365ffd9656815fc8c978450779809029b8da118b8dc3ff3b693
PLAY,SERVERBOUND,0x08,chat_command_signed,net.minecraft.network.protocol.game.ServerboundChatCommandSignedPacket,net/minecraft/network/protocol/game/ServerboundChatCommandSignedPacket.java,1d649de5d6dc58961c61909ce2e5c6e065914378b00784a95f59f6f2bbfa47df
PLAY,SERVERBOUND,0x09,chat,net.minecraft.network.protocol.game.ServerboundChatPacket,net/minecraft/network/protocol/game/ServerboundChatPacket.java,5c8e882bff4793475409d9c45502bbc74163b0107e29940a01b79a52b0682a96
PLAY,SERVERBOUND,0x0A,chat_session_update,net.minecraft.network.protocol.game.ServerboundChatSessionUpdatePacket,net/minecraft/network/protocol/game/ServerboundChatSessionUpdatePacket.java,e46afadaa903e239588393ed6b16ba3831277ce406cd8d8a854cb384281a7450
PLAY,SERVERBOUND,0x0B,chunk_batch_received,net.minecraft.network.protocol.game.ServerboundChunkBatchReceivedPacket,net/minecraft/network/protocol/game/ServerboundChunkBatchReceivedPacket.java,16cafff7a016c1203310e0c511c47d629c5cba73174473125cc197e11d41a61a
PLAY,SERVERBOUND,0x0C,client_command,net.minecraft.network.protocol.game.ServerboundClientCommandPacket,net/minecraft/network/protocol/game/ServerboundClientCommandPacket.java,332413d89744e1fe687381fae32b7c3e233ddefe3369bfb3a451b1687390c6ba
PLAY,SERVERBOUND,0x0D,client_tick_end,net.minecraft.network.protocol.game.ServerboundClientTickEndPacket,net/minecraft/network/protocol/game/ServerboundClientTickEndPacket.java,57e422920ee40009c7a7c4453d555f332e539c324ddc5833cf4a918e67106bae
PLAY,SERVERBOUND,0x0E,client_information,net.minecraft.network.protocol.common.ServerboundClientInformationPacket,net/minecraft/network/protocol/common/ServerboundClientInformationPacket.java,9401b91180f9041ee6e8639e8575e4c4bcc3f018044261c6e1a6317009607fe0
